season,team,srs
2009,Furman,-16.07
2009,Gardner-Webb,-8.32
2009,George Mason,3.78
2009,George Washington,-2.08
2009,Georgetown,14.39
2009,Georgia,-1.81
2009,Georgia Southern,-13.5
2009,Georgia State,-6.13
2009,Georgia Tech,5.56
2009,Gonzaga,17.95
2009,Grambling,-23.07
2009,Green Bay,5.63
2009,Hampton,-10.79
2009,Hartford,-13.24
2009,Harvard,-7.57
2009,Hawaii,-2.51
2009,High Point,-13.1
2009,Hofstra,-3.42
2009,Holy Cross,-3.56
2009,Houston,8.26
2009,Howard,-16.62
2009,IU Indy,-2.92
2009,Idaho,-0.56
2009,Idaho State,-3.22
2009,Illinois,14.38
2009,Illinois State,7.83
2009,Illinois-Chicago,0.98
2009,Indiana,-2.03
2009,Indiana State,-3.38
2009,Iona,-3.24
2009,Iowa,6.65
2009,Iowa State,3.48
2009,Jackson State,-9.5
2009,Jacksonville,1.62
2009,Jacksonville State,-8.2
2009,James Madison,-1.14
2009,Kansas,18.02
2009,Kansas City,-10.11
2009,Kansas State,12.18
2009,Kent State,0.66
2009,Kentucky,12.69
2009,LIU,-6.92
2009,LSU,11.87
2009,La Salle,3.45
2009,Lafayette,-14.08
2009,Lamar,-5.0
2009,Lehigh,-8.31
2009,Liberty,-5.39
2009,Lipscomb,-2.58
2009,Little Rock,-0.66
2009,Long Beach State,-1.57
2009,Longwood,-12.38
2009,Louisiana,-6.3
2009,Louisiana Tech,-2.38
2009,Louisiana-Monroe,-11.75
2009,Louisville,20.87
2009,Loyola Chicago,-5.51
2009,Loyola Maryland,-5.65
2009,Loyola Marymount,-14.79
2009,Maine,-11.33
2009,Manhattan,-4.09
2009,Marist,-7.24
2009,Marquette,15.06
2009,Marshall,0.14
2009,Maryland,11.1
2009,Maryland-Baltimore County,-8.74
2009,Maryland-Eastern Shore,-22.6
2009,Massachusetts,0.64
2009,McNeese,-5.47
2009,Memphis,20.92
2009,Mercer,-7.1
2009,Miami,11.76
2009,Miami (OH),3.16
2009,Michigan,11.9
2009,Michigan State,17.71
2009,Middle Tennessee,-1.32
2009,Milwaukee,-0.54
2009,Minnesota,11.32
2009,Mississippi State,9.1
2009,Mississippi Valley State,-18.44
2009,Missouri,19.56
2009,Missouri State,-1.9
2009,Monmouth,-14.84
2009,Montana,-2.92
2009,Montana State,-6.38
2009,Morehead State,-3.14
2009,Morgan State,-2.29
2009,Mount St. Mary's,-1.47
2009,Murray State,-0.09
2009,NC State,8.38
2009,Navy,-5.35
2009,Nebraska,8.92
2009,Nevada,4.28
2009,New Hampshire,-9.4
2009,New Mexico,11.37
2009,New Mexico State,2.25
2009,New Orleans,-9.79
2009,Niagara,6.21
2009,Nicholls State,-3.08
2009,Norfolk State,-13.31
2009,North Carolina,25.46
2009,North Carolina A&T,-13.0
2009,North Dakota State,6.18
2009,North Texas,-1.14
2009,Northeastern,1.91
2009,Northern Arizona,-6.14
2009,Northern Colorado,-4.57
2009,Northern Illinois,-10.0
2009,Northern Iowa,5.63
2009,Northwestern,8.56
2009,Northwestern State,-18.7
2009,Notre Dame,12.26
2009,Oakland,1.8
2009,Ohio,-1.56
2009,Ohio State,12.48
2009,Oklahoma,18.07
2009,Oklahoma State,13.78
2009,Old Dominion,2.86
2009,Ole Miss,5.82
2009,Oral Roberts,3.68
2009,Oregon,1.51
2009,Oregon State,4.25
2009,Pacific,2.22
2009,Penn State,9.49
2009,Pennsylvania,-7.78
2009,Pepperdine,-11.23
2009,Pittsburgh,21.21
2009,Portland,2.89
2009,Portland State,1.14
2009,Prairie View A&M,-12.47
2009,Princeton,-7.82
2009,Providence,7.82
2009,Purdue,16.44
2009,Purdue Fort Wayne,-5.42
2009,Quinnipiac,-9.16
2009,Radford,-4.55
2009,Rhode Island,7.89
2009,Rice,-5.05
2009,Richmond,2.61
2009,Rider,-2.63
2009,Robert Morris,-0.7
2009,Rutgers,1.07
2009,SMU,-3.27
2009,Sacramento State,-17.77
2009,Sacred Heart,-4.4
2009,Saint Francis (PA),-15.7
2009,Saint Joseph's,4.21
2009,Saint Louis,1.02
2009,Saint Mary's,9.52
2009,Saint Peter's,-8.39
2009,Sam Houston,-0.39
2009,Samford,-8.28
2009,San Diego,-0.37
2009,San Diego State,11.54
2009,San Francisco,-5.91
2009,San Jose State,-2.64
2009,Santa Clara,-0.55
2009,Savannah State,-12.95
2009,Seton Hall,7.53
2009,Siena,8.05
2009,South Alabama,-2.62
2009,South Carolina,8.78
2009,South Carolina State,-10.31
2009,South Dakota State,-5.83
2009,South Florida,2.63
2009,Southeast Missouri State,-18.72
2009,Southeastern Louisiana,-6.22
2009,Southern,-17.64
2009,Southern California,14.09
2009,Southern Illinois,0.35
2009,Southern Mississippi,1.54
2009,Southern Utah,-5.44
2009,St. Bonaventure,-2.57
2009,St. Francis (NY),-12.66
2009,St. John's,4.28
2009,Stanford,10.58
2009,Stephen F. Austin,1.1
2009,Stetson,-6.88
2009,Stony Brook,-4.82
2009,Syracuse,17.24
2009,TCU,2.23
2009,Temple,9.05
2009,Tennessee,13.6
2009,Tennessee State,-10.79
2009,Tennessee Tech,-6.64
2009,Tennessee-Martin,0.06
2009,Texas,14.83
2009,Texas A&M,10.52
2009,Texas A&M-CC,-3.49
2009,Texas Southern,-16.56
2009,Texas State,-4.73
2009,Texas Tech,5.04
2009,Texas-Rio Grande Valley,-13.68
2009,The Citadel,-4.48
2009,Toledo,-10.48
2009,Towson,-7.3
2009,Troy,-3.64
2009,Tulane,-1.3
2009,Tulsa,8.41
2009,UAB,10.05
2009,UAlbany,-6.63
2009,UC Davis,-4.13
2009,UC Irvine,-5.8
2009,UC Riverside,-5.22
2009,UC Santa Barbara,-1.74
2009,UCF,1.73
2009,UCLA,18.64
2009,UConn,22.17
2009,UNC Asheville,-11.34
2009,UNC Greensboro,-16.01
2009,UNC Wilmington,-13.82
2009,UNLV,8.68
2009,UT Arlington,-2.37
2009,UTEP,6.67
2009,UTSA,-4.67
2009,Utah,12.59
2009,Utah State,9.33
2009,VCU,7.7
2009,VMI,-3.3
2009,Valparaiso,-4.43
2009,Vanderbilt,8.18
2009,Vermont,4.64
2009,Villanova,17.45
2009,Virginia,5.87
2009,Virginia Tech,8.79
2009,Wagner,-10.39
2009,Wake Forest,15.63
2009,Washington,16.78
2009,Washington State,11.29
2009,Weber State,1.11
2009,West Virginia,18.57
2009,Western Carolina,-7.17
2009,Western Illinois,-10.86
2009,Western Kentucky,3.68
2009,Western Michigan,-5.69
2009,Wichita State,2.05
2009,William & Mary,-5.97
2009,Winthrop,-11.46
2009,Wisconsin,12.43
2009,Wofford,-7.04
2009,Wright State,3.2
2009,Wyoming,0.67
2009,Xavier,14.45
2009,Yale,-7.29
2009,Youngstown State,-5.25
2010,Air Force,-4.9
2010,Akron,2.82
2010,Alabama,10.34
2010,Alabama A&M,-20.19
2010,Alabama State,-14.41
2010,Alcorn State,-30.36
2010,American,-11.47
2010,Appalachian State,1.8
2010,Arizona,7.97
2010,Arizona State,13.8
2010,Arkansas,5.87
2010,Arkansas State,-4.01
2010,Arkansas-Pine Bluff,-8.29
2010,Army,-9.11
2010,Auburn,5.49
2010,Austin Peay,-3.85
2010,BYU,18.82
2010,Ball State,-4.85
2010,Baylor,17.97
2010,Belmont,1.3
2010,Bethune-Cookman,-13.14
2010,Binghamton,-10.6
2010,Boise State,-1.11
2010,Boston College,9.58
2010,Boston University,0.57
2010,Bowling Green,-4.7
2010,Bradley,3.74
2010,Brown,-10.68
2010,Bucknell,-7.94
2010,Buffalo,-2.03
2010,Butler,14.37
2010,Cal Poly,-7.99
2010,Cal State Fullerton,-2.87
2010,Cal State Northridge,-5.81
2010,California,17.29
2010,Campbell,-3.13
2010,Canisius,-5.19
2010,Centenary (LA),-17.16
2010,Central Connecticut State,-14.68
2010,Central Michigan,-3.58
