team,bpi,bpi_off,bpi_def,season
UNCO,-7.7,-2.9,-4.8,2016
MORG,-7.7,-9.5,1.8,2016
CARK,-7.7,-1.6,-6.1,2016
BING,-7.7,-8.2,0.4,2016
LAM,-7.8,-6.8,-0.9,2016
UMES,-7.8,-7.0,-0.7,2016
PRES,-7.9,-13.0,5.1,2016
USM,-7.9,-7.9,0.0,2016
UMBC,-7.9,-5.1,-2.8,2016
LAF,-8.0,-5.2,-2.8,2016
UPST,-8.0,-2.7,-5.3,2016
ALCN,-8.1,-2.2,-5.9,2016
HOW,-8.1,-0.0,-8.1,2016
UIC,-8.1,-9.4,1.3,2016
BRAD,-8.1,-1.7,-6.5,2016
NWST,-8.1,-10.5,2.4,2016
NAU,-8.2,-7.3,-0.9,2016
MCN,-8.4,-5.2,-3.1,2016
SEMO,-8.6,-6.9,-1.6,2016
SUU,-8.6,1.0,-9.6,2016
COPP,-8.6,7.7,-16.3,2016
NICH,-8.8,-4.9,-3.9,2016
NCAT,-9.0,-4.3,-4.7,2016
GRAM,-9.0,-1.2,-7.8,2016
UTSA,-9.2,-6.1,-3.0,2016
CHST,-9.3,0.2,-9.4,2016
BRY,-9.3,-12.2,2.9,2016
UAPB,-9.4,-2.6,-6.7,2016
MVSU,-9.4,-2.2,-7.3,2016
DSU,-9.7,-5.0,-4.7,2016
RGV,-9.7,-7.3,-2.4,2016
FAMU,-9.8,-9.8,0.0,2016
CCSU,-9.9,-1.8,-8.1,2016
